Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
A tour of the new Census Reporter,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Joe Germuska, Sara Schnadt - Census Reporter is a new, free and powerful tool made by journalists to help journalists use census data in their stories. Building on it&rsquo;s predecessor, census.IRE.org, which made Census data more easily available for download, this new project has developed an interface to help a wide range of journalists from shoe-leather types to journo nerds and app developers get the census data they need to give context to their stories, and also dig deeper to explore and analyze census data in new ways. This site tour will introduce the depth and potential use cases for this data set while showing off some of the new tools created to let you learn more about your beat, make meaningful comparisons across topics, populations and geographies, and expose patterns in hyper local, regional and national cultural/social/economic landscapes.",Chesapeake,False
Fusion Tables for beginners,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Daniel Lathrop - Welcome to Google Fusion Tables. In this hands-on introduction to the free online tool you'll learn how to import and combine data, do simple analysis and easily turn that into an online map. We'll explore using Fusion Table as a toolbox for reporting and online storytelling.",Stadium 4,False
Intro to JavaScript,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,Speakers: Jeff Larson - In this beginners class we&rsquo;ll start from the very basics of JavaScript and build from there. We&rsquo;ll walk through a number of simple exercises with the popular library jQuery to explain how the language works.,Stadium 5,False
Holding algorithms accountable,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Chase Davis, Nicholas Diakopoulos, Jeremy Singer-Vine, Frank Pasquale - **Moderated by Chase Davis, The New York Times",Grand Ballroom West,False
Getting started with Excel,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Helena Bengtsson - In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it and conduct simple calculations like average and median. Time allowing, you'll even learn to create a basic Google map using data from spreadsheets.",Stadium 1,False
Build your first News App (Friday),2014-02-28,9:00:00 a.m.,2014-02-28,11:50 a.m.,False,"Speakers: Chase Davis, Ben Welsh, Derek Willis - This mini-boot camp will walk you through the process of building a simple, useful online news application from a dataset. You will get hands-on experience in every stage of the development process, writing Python, HTML and JavaScript using version control tools. You won't stop until you've deployed a working application onto the World Wide Web. If you have a good attitude and know how to take a few code crashes in stride, you are qualified for this class.",Stadium 3,False
Advanced functions in Excel,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Steve Doig - Dirty, disorganized databases getting you down? Electronic records rarely come the way you want them--especially when dealing with government agencies. But Excel has some very powerful, easy-to-use tools to give you back control over how you want your spreadsheet to look. Never spend hours cutting and pasting again, or haggling with a PIO about changing the layout of your data request. In this hands-on class we'll show you some great tricks that will forever change the way you deal with data.",Salon A,False
Statistics: an introduction,2014-02-28,9:00:00 a.m.,2014-02-28,9:50 a.m.,False,"Speakers: Ronald Campbell - Statisticians need to really understand their data (and so do you!) before they begin running analyses. As a result, statistical software packages such as SPSS have many powerful tools to summarize your data. You're going to love them. We'll take a look at the structure of some Home Mortgage data, do data transformations and run crosstabs with Chi Square significance tests to look at racial discrimination in home lending.",Stadium 2,False
Liberate data from PDFs with Tabula,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Mike Tigas, Jeremy Merrill - Ever receive a FOIA response that has all the data you want -- but in PDF files? Ever try accessing that data in Excel or database software?",Salon A,False
Free the data: Getting government agencies to give up the goods,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Deborah Nelson, Kirsten Mitchell, Michael Ravnitzky, Kate Willson - **Moderated by Deborah Nelson, University of Maryland",Grand Ballroom West,False
Powerful data science tools without an engineering degree,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Matthew Granade - Increasingly, data analysts are filling their need for powerful tools by turning to products and services designed for IT professionals. Whether they need access to the cloud to crush large data sets, or flexible version control to manage complicated projects, analysts are forced to waste time struggling with tools that are difficult to setup and configure for anyone who isn't an engineer. That's where Domino comes in: Domino is a platform for data scientists working in R, Python and Matlab who want powerful tools that ""just work"" without any setup. Domino lets you run your analysis in cloud without changing your code; provides automatic version control for your data, code, and results; and facilitates collaboration on your projects. In this talk, Matthew will demo Domino and talk about how other data journalists are using it in their day-to-day work.",Chesapeake,False
Using formulas in Excel,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Ryann Grochowski Jones - Much of Excel's power comes in the form of formulas. In this class you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting.",Stadium 1,False
Introduction to R,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Sharon Machlis - Get a taste of R, a programming language specifically designed for data analysis and visualization, at this hands-on session designed for complete R newbies. You'll see one-line commands for creating graphics, statistical summaries and more.",Stadium 5,False
Proper workflows for data projects,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Brian Boyer, John Perry, Ben Welsh, Kevin Schaul - **Moderated by Kevin Schaul, Star Tribune",Grand Ballroom East,False
"Wading through the sea of data on hospitals, doctors, medicine and more",2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Dan Keating, Charles Ornstein, Peter Eisler - While the Obama administration has been pilloried for its lack of transparency, it has released some useful data sets that can help reporters and news organizations cover the quality and finances of their local health professionals and facilities. This session will provide an introduction to what's available, how easy it is to use and what stories you can write based on the data. We'll also preview some of the data that we expect to be released in the next year.",Salon BC,False
Statistics: basic linear regression,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,Speakers: David Donald - Go beyond counting and sorting. Learn how (and when) to measure relationships.,Stadium 2,False
Complaints: A road map for killer investigations,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Tisha Thompson, Jill Riepenhoff - You've got a tip. A gut feeling. You just know it's happening to others. But you need the meat. Delve into the world of consumer complaints and all the glorious goodies they contain. We'll show you the different kinds of complaints that are out there, how to find them and how to use them.",Salon DEF,False
Grab data from the Web with Helium Scraper,2014-02-28,10:00:00 a.m.,2014-02-28,10:50 a.m.,False,"Speakers: Tommy Kaas, Nils Mulvad - After this session you'll have made your first scraper using Helium Scraper, an easy, low-cost, point-and-click tool that&rsquo;ll get you most of the way.",Stadium 4,False
Pivot tables for stories,2014-02-28,11:00:00 a.m.,2014-02-28,11:50 a.m.,False,Speakers: Jonathan Stoneman - A look at the awesome power of pivot - and how to use it to analyze your dataset in minutes rather than hours.,Stadium 1,False
